timestamp,price,quantity,type
0.0,37289000.0,0.04634479,0.0
0.0,37300000.0,0.00254217,1.0
0.0,37286000.0,0.02680965,0.0
0.0,37305000.0,0.0182208,1.0
0.0,37285000.0,0.00107264,0.0
0.0,37306000.0,0.0215788,1.0
0.0,37283000.0,0.00014,0.0
0.0,37319000.0,0.5149,1.0
0.0,37280000.0,0.15237692,0.0
0.0,37320000.0,0.73167953,1.0
1.0,37289000.0,0.03552637,0.0
1.0,37300000.0,0.00254217,1.0
1.0,37286000.0,0.02680965,0.0
1.0,37305000.0,0.0182208,1.0
1.0,37285000.0,0.00107264,0.0
1.0,37306000.0,0.0215788,1.0
1.0,37283000.0,0.00014,0.0
1.0,37319000.0,0.7851,1.0
1.0,37280000.0,0.15237692,0.0
1.0,37320000.0,0.73167953,1.0
2.0,37289000.0,0.03552637,0.0
2.0,37290000.0,0.5,1.0
2.0,37286000.0,0.02680965,0.0
2.0,37300000.0,0.00254217,1.0
2.0,37285000.0,0.00107264,0.0
2.0,37305000.0,0.0182208,1.0
2.0,37283000.0,0.00014,0.0
2.0,37306000.0,0.0215788,1.0
2.0,37280000.0,0.15237692,0.0
2.0,37318000.0,0.8332,1.0
3.0,37289000.0,0.03552637,0.0
3.0,37290000.0,0.51421904,1.0
3.0,37286000.0,0.02680965,0.0
3.0,37300000.0,0.00254217,1.0
3.0,37285000.0,0.00107264,0.0
3.0,37305000.0,0.0182208,1.0
3.0,37283000.0,0.00014,0.0
3.0,37306000.0,0.0215788,1.0
3.0,37280000.0,0.15237692,0.0
3.0,37315000.0,0.5149,1.0
4.0,37289000.0,0.03579454,0.0
4.0,37290000.0,0.50161904,1.0
4.0,37286000.0,0.02700865,0.0
4.0,37300000.0,0.00254217,1.0
4.0,37285000.0,0.00107264,0.0
4.0,37305000.0,0.0182208,1.0
4.0,37283000.0,0.00014,0.0
4.0,37306000.0,0.0215788,1.0
4.0,37280000.0,0.15237692,0.0
4.0,37318000.0,0.2703,1.0
5.0,37289000.0,0.03579454,0.0
5.0,37290000.0,0.50161904,1.0
5.0,37286000.0,0.02700865,0.0
5.0,37300000.0,0.00254217,1.0
5.0,37285000.0,0.00107264,0.0
5.0,37305000.0,0.0182208,1.0
5.0,37283000.0,0.00014,0.0
5.0,37306000.0,0.0215788,1.0
5.0,37280000.0,0.15237692,0.0
5.0,37317000.0,0.5149,1.0
6.0,37289000.0,0.03579454,0.0
6.0,37290000.0,0.01421904,1.0
6.0,37286000.0,0.02700865,0.0
6.0,37300000.0,0.00254217,1.0
6.0,37285000.0,0.00107264,0.0
6.0,37305000.0,0.0182208,1.0
6.0,37283000.0,0.00014,0.0
6.0,37306000.0,0.0215788,1.0
6.0,37280000.0,0.15237692,0.0
6.0,37320000.0,0.73167953,1.0
7.0,37286000.0,0.02700865,0.0
7.0,37289000.0,0.1517162,1.0
7.0,37285000.0,0.00689866,0.0
7.0,37300000.0,0.00254217,1.0
7.0,37283000.0,0.00014,0.0
7.0,37305000.0,0.0182208,1.0
7.0,37280000.0,0.15237692,0.0
7.0,37306000.0,0.0215788,1.0
7.0,37278000.0,0.00465617,0.0
7.0,37319000.0,0.5126,1.0
8.0,37286000.0,0.02700865,0.0
8.0,37287000.0,0.4908,1.0
8.0,37285000.0,0.00689866,0.0
8.0,37289000.0,0.1517162,1.0
8.0,37283000.0,0.00014,0.0
8.0,37300000.0,0.00254217,1.0
8.0,37280000.0,0.15237692,0.0
8.0,37305000.0,0.0182208,1.0
8.0,37278000.0,0.00465617,0.0
8.0,37306000.0,0.0215788,1.0
9.0,37286000.0,0.02700865,0.0
9.0,37287000.0,0.4908,1.0
9.0,37285000.0,0.00689866,0.0
9.0,37289000.0,0.1517162,1.0
9.0,37283000.0,0.00014,0.0
9.0,37300000.0,0.00254217,1.0
9.0,37280000.0,0.15237692,0.0
9.0,37305000.0,0.0182208,1.0
9.0,37278000.0,0.00465617,0.0
